hotel_id,hotel_name,area,page_status,complaint_n,google_review_count,complaint_visibility_per_1000_google_reviews,visibility_support_flag,threshold_methodology,metric_interpretation
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,0,132,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,VISIBLE_COMPLAINTS,2,2728,0.7331378299120235,STRONGER_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD057,Selvi Bodrum,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,0,584,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD058,Bodrum Beach Resort,Gümbet,VISIBLE_COMPLAINTS,3,1678,1.7878426698450536,MODERATE_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD059,Bodrum Hotel Baba,Gümbet,REJECTED_CANDIDATE_PAGE,0,465,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD060,Club Shark Hotel,Gümbet,VISIBLE_COMPLAINTS,1,1124,0.889679715302491,MODERATE_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD061,Gümbet Anıl Beach,Gümbet,VISIBLE_COMPLAINTS,2,1489,1.343183344526528,MODERATE_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,NO_VALIDATED_SIKAYETVAR_PAGE,0,237,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD063,Jasmin Beach Hotel,Gümbet,VALIDATED_PAGE_COMPLAINTS_NOT_COLLECTED,0,2330,,STRONGER_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD064,Jasmin Elite Residence & Spa,Gümbet,VALIDATED_PAGE_COMPLAINTS_NOT_COLLECTED,0,600,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
