hotel_id,hotel_name,area,page_status,mapping_status,complaint_n,top_aspects,company_reply_n,company_reply_visibility_pct,google_review_count,complaint_visibility_per_1000_google_reviews,visibility_support_flag,support_level,data_quality_note
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,219,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD074,Begonvil Gümüşlük,Gümüşlük,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,36,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD075,Benjamin Otel,Gümüşlük,MAPPING_AMBIGUOUS,AMBIGUOUS_REMAINS,0,,,,487,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD076,Gümüşlük No3,Gümüşlük,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,52,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD077,Ladonia Hotels Zemda,Gümüşlük,VISIBLE_COMPLAINTS,MATCHED_EXACT,7,MANAGEMENT_COMMUNICATION:100.0%|PAYMENT_REFUND:100.0%|PRICE_VALUE:100.0%,0.0,0.0,376,18.617021276595743,LOW_DENOMINATOR,MODERATE_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,411,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD079,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,362,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD080,Myndos Oda & kahvalti,Gümüşlük,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,171,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,REJECTED_CANDIDATE_PAGE,REJECTED_WRONG_ENTITY,0,,,,276,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD082,Otel Gümüşlük,Gümüşlük,MAPPING_AMBIGUOUS,AMBIGUOUS_REMAINS,0,,,,442,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
