hotel_id,hotel_name,area,mapping_status,sikayetvar_url,page_found,page_accessible,complaint_count_matched,complaint_count_review_required,complaint_count_excluded,company_response_count,company_response_rate_in_scraped_corpus,first_complaint_date,last_complaint_date,last_checked
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,FOUND_EXACT,https://www.sikayetvar.com/irmak-boutique-hotel,True,True,1,0,0,0,0.0%,27 Temmuz 13:35,27 Temmuz 13:35,2026-08-25T12:44:28.352590+00:00
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,REVIEW_REQUIRED,https://www.sikayetvar.com/the-plaza-bodrum,True,True,0,0,0,0,0.0%,,,2026-08-25T12:44:38.752321+00:00
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,PAGE_FOUND_NO_COMPLAINT,https://www.sikayetvar.com/khai-hotel-bodrum,True,True,0,0,0,0,0.0%,,,2026-08-25T12:44:45.826250+00:00
BOD127,Kriss Hotel,Ortakent-Yahşi,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:44:57.024927+00:00
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:45:09.847879+00:00
BOD129,Meggs Bodrum,Ortakent-Yahşi,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:45:17.360628+00:00
BOD130,Petunya Beach Resort,Ortakent-Yahşi,FOUND_EXACT,https://www.sikayetvar.com/petunya-beach-resort,True,True,13,0,0,0,0.0%,Filiz'in Teşekkür Mesajı “ Ücret iadesi yqpildigi için teşekkürler ”,12 Ağustos 09:35,2026-08-25T12:45:26.707157+00:00
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,PAGE_FOUND_NO_COMPLAINT,https://www.sikayetvar.com/regia-mare-beach-hotel-bodrum,True,True,0,0,0,0,0.0%,,,2026-08-25T12:45:32.245467+00:00
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,REVIEW_REQUIRED,https://www.sikayetvar.com/ephesia-holiday-beach-club,True,True,0,0,0,0,0.0%,,,2026-08-25T12:45:46.917552+00:00
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:45:59.585666+00:00
BOD134,Yakamoz Otel,Ortakent-Yahşi,REVIEW_REQUIRED,https://www.sikayetvar.com/yakamoz-tantuni,True,True,0,0,0,0,0.0%,,,2026-08-25T12:46:09.135023+00:00
