hotel_id,canonical_aspect,google_mention_rate_pct,google_support_n,google_low_context_share,google_high_context_share,sikayetvar_mention_rate_pct,sikayetvar_hotel_n,sikayetvar_small_n_flag,alignment_label
BOD060,FACILITIES_MAINTENANCE,11.7,77,33.3,55.6,0.0,1,True,LOW_SUPPORT
BOD061,FACILITIES_MAINTENANCE,7.7,65,80.0,0.0,0.0,2,True,LOW_SUPPORT
BOD063,FACILITIES_MAINTENANCE,33.3,30,20.0,60.0,0.0,1,True,LOW_SUPPORT
BOD064,FACILITIES_MAINTENANCE,31.0,29,11.1,77.8,,0,,GOOGLE_GENERAL_ONLY
BOD066,FACILITIES_MAINTENANCE,20.0,10,0.0,50.0,22.22222222222222,18,False,GOOGLE_GENERAL_ONLY
BOD067,FACILITIES_MAINTENANCE,13.6,59,50.0,12.5,16.666666666666668,6,False,NO_SIGNAL
BOD068,FACILITIES_MAINTENANCE,77.8,9,28.6,71.4,44.44444444444444,9,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD077,FACILITIES_MAINTENANCE,20.0,20,50.0,50.0,0.0,7,False,GOOGLE_GENERAL_ONLY
BOD088,FACILITIES_MAINTENANCE,25.0,20,40.0,40.0,,0,,GOOGLE_GENERAL_ONLY
BOD095,FACILITIES_MAINTENANCE,,0,,,,0,,NO_SIGNAL
BOD104,FACILITIES_MAINTENANCE,25.9,27,71.4,28.6,50.0,4,True,LOW_SUPPORT
BOD105,FACILITIES_MAINTENANCE,7.5,40,33.3,66.7,,0,,NO_SIGNAL
BOD106,FACILITIES_MAINTENANCE,72.7,11,0.0,62.5,31.57894736842105,19,False,NO_SIGNAL
BOD107,FACILITIES_MAINTENANCE,40.0,10,25.0,75.0,25.0,4,True,LOW_SUPPORT
BOD108,FACILITIES_MAINTENANCE,33.3,9,33.3,66.7,33.333333333333336,15,False,NO_SIGNAL
BOD109,FACILITIES_MAINTENANCE,44.2,43,21.1,68.4,,0,,GOOGLE_GENERAL_ONLY
BOD113,FACILITIES_MAINTENANCE,27.3,11,33.3,66.7,28.571428571428573,7,False,NO_SIGNAL
BOD120,FACILITIES_MAINTENANCE,30.0,10,33.3,66.7,100.0,2,True,LOW_SUPPORT
BOD126,FACILITIES_MAINTENANCE,33.3,9,33.3,66.7,,0,,GOOGLE_GENERAL_ONLY
BOD130,FACILITIES_MAINTENANCE,20.0,10,100.0,0.0,15.384615384615383,13,False,GOOGLE_GENERAL_ONLY
BOD131,FACILITIES_MAINTENANCE,20.0,20,0.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD150,FACILITIES_MAINTENANCE,40.0,20,25.0,75.0,,0,,GOOGLE_GENERAL_ONLY
BOD153,FACILITIES_MAINTENANCE,60.0,10,0.0,83.3,20.0,10,False,GOOGLE_GENERAL_ONLY
BOD161,FACILITIES_MAINTENANCE,50.0,10,100.0,0.0,46.42857142857143,28,False,BOTH_SOURCE_CONCERN
BOD168,FACILITIES_MAINTENANCE,26.3,19,20.0,40.0,,0,,GOOGLE_GENERAL_ONLY
BOD002,POOL,50.0,10,40.0,40.0,25.0,8,False,NO_SIGNAL
BOD004,POOL,40.0,10,75.0,25.0,16.666666666666668,12,False,GOOGLE_GENERAL_ONLY
BOD006,POOL,10.0,10,0.0,100.0,0.0,5,False,NO_SIGNAL
BOD007,POOL,41.4,58,29.2,54.2,17.24137931034483,29,False,GOOGLE_GENERAL_ONLY
BOD010,POOL,30.0,10,66.7,0.0,0.0,1,True,LOW_SUPPORT
BOD012,POOL,50.0,10,0.0,100.0,25.0,4,True,LOW_SUPPORT
BOD016,POOL,50.0,10,20.0,80.0,50.0,4,True,LOW_SUPPORT
BOD031,POOL,22.2,9,0.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD032,POOL,29.3,58,0.0,88.2,0.0,1,True,LOW_SUPPORT
BOD045,POOL,23.4,64,13.3,73.3,14.285714285714286,7,False,GOOGLE_GENERAL_ONLY
BOD051,POOL,25.0,20,0.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD056,POOL,,0,,,0.0,2,True,LOW_SUPPORT
