hotel_id,master_hotel_name,area,detected_sikayetvar_hotel_name,mapping_status,confidence,source_url,page_accessible,visible_complaint_count,complaint_count,unique_complaint_count,matched_complaint_count,review_required_complaint_count,detail_nonempty_count,company_response_count,match_method,match_reason,manual_review_required,checked_at
BOD085,Paradise Gümüşlük,Gümüşlük,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:38:12.114562+00:00
BOD086,Vega Aparts,Gümüşlük,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:38:21.160824+00:00
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:38:30.854463+00:00
BOD088,Baia Bodrum Hotel,Gündoğan,Baia Bodrum Hotel,AMBIGUOUS,0.85,https://www.sikayetvar.com/baia-bodrum-hotel,True,0.0,0,0,0,0,0,0,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,True,2026-08-25T12:38:38.067966+00:00
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:38:48.895170+00:00
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:38:57.823604+00:00
BOD091,Gündoğan Suites,Gündoğan,Gündoğan,REVIEW_REQUIRED,0.637,https://www.sikayetvar.com/gundogan,True,0.0,0,0,0,0,0,0,slug_guess,score=0.637 name_sim=0.6957 bodrum=False area=True method=slug_guess,True,2026-08-25T12:39:03.446491+00:00
BOD092,Liona Hotel,Gündoğan,Lion Hotel,REVIEW_REQUIRED,0.6667,https://www.sikayetvar.com/lion-hotel,True,0.0,0,0,0,0,0,0,search_fallback,score=0.6667 name_sim=0.9524 bodrum=False area=False method=search_fallback,True,2026-08-25T12:39:18.956332+00:00
BOD093,Malta Bodrum Hotel,Gündoğan,Bodrum Park Resort,REVIEW_REQUIRED,0.2773,https://www.sikayetvar.com/bodrum-park-resort,True,22.0,0,0,0,0,0,0,search_fallback,score=0.2773 name_sim=0.1818 bodrum=True area=False method=search_fallback,True,2026-08-25T12:39:28.523250+00:00
BOD094,Marje Villas,Gündoğan,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:39:38.200255+00:00
BOD095,Mivara Luxury Bodrum,Gündoğan,Mivara Luxury Resort & Spa Bodrum,REVIEW_REQUIRED,0.6419,https://www.sikayetvar.com/mivara-luxury-resort-spa-bodrum,True,0.0,0,0,0,0,0,0,search_fallback,score=0.6419 name_sim=0.7027 bodrum=True area=False method=search_fallback,True,2026-08-25T12:39:46.511218+00:00
BOD096,Olira Boutique Hotel&SPA,Gündoğan,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:40:00.211047+00:00
BOD097,OLİVE TREE HOTEL,Gündoğan,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:40:11.245252+00:00
BOD098,Swissôtel Living Bodrum,Gündoğan,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:40:18.327057+00:00
BOD099,Villa Oliva Butik Otel,Gündoğan,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:40:29.340945+00:00
BOD100,Villa Rustica Hotel,Gündoğan,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:40:40.148862+00:00
