hotel_id,hotel_name,area,mapping_status,page_accessible,visible_complaint_count,matched_complaint_count,first_complaint_date,last_complaint_date,avg_complaint_word_count,median_complaint_word_count,company_response_count,complaints_with_replies,total_reply_count,view_count_non_null,median_view_count,review_required_complaint_count,company_response_rate_in_corpus,view_count_coverage_pct
BOD129,Meggs Bodrum,Ortakent-Yahşi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD130,Petunya Beach Resort,Ortakent-Yahşi,FOUND_EXACT,True,13,13,2023-09-10 23:45:00,2026-08-12 09:35:00,153.46153846153845,147.0,0,2,2,11,529.0,0,0.0,84.61538461538461
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,PAGE_FOUND_NO_COMPLAINT,True,0,0,,,,,0,0,0,0,,0,,
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,REVIEW_REQUIRED,True,24,0,,,,,0,0,0,0,,0,,
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD134,Yakamoz Otel,Ortakent-Yahşi,REVIEW_REQUIRED,True,4,0,,,,,0,0,0,0,,0,,
BOD135,Yılmaz Hotel | Bodrum Ortakent Otelleri,Ortakent-Yahşi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD137,Armagan Apart Hotel,Torba,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD138,Bodrum Blue Bay Otel,Torba,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD139,Casa Dell'arte Otel,Torba,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,NOT_FOUND,True,22,0,,,,,0,0,0,0,,0,,
BOD141,DUJA BODRUM,Torba,NOT_FOUND,True,22,0,,,,,0,0,0,0,,0,,
BOD142,Hotel Torbahan,Torba,REVIEW_REQUIRED,True,1,0,,,,,0,0,0,0,,0,,
BOD143,Hotel Zeytinada,Torba,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD144,Mira Suites,Torba,REVIEW_REQUIRED,True,7,0,,,,,0,0,0,0,,0,,
BOD145,Moyo Luxury Hotel & Beach,Torba,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD146,Olivia Hotel,Torba,REVIEW_REQUIRED,True,0,0,,,,,0,0,0,0,,0,,
BOD147,Omar Hotel & Suites,Torba,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD148,Rixos Premium Bodrum,Torba,NOT_FOUND,True,23,0,,,,,0,0,0,0,,0,,
BOD149,Roota Bodrum,Torba,REVIEW_REQUIRED,True,6,0,,,,,0,0,0,0,,0,,
BOD150,Samara Hotel,Torba,PAGE_FOUND_NO_COMPLAINT,True,0,0,,,,,0,0,0,0,,0,,
BOD151,Sarpedor Boutique Hotel & SPA,Torba,REVIEW_REQUIRED,True,2,0,,,,,0,0,0,0,,0,,
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
