hotel_id,hotel_name,hotel_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag,nlp_sample_tier
BOD058,Bodrum Beach Resort,3,BEACH_SEA,0,0.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,POOL,0,0.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,FACILITIES_MAINTENANCE,0,0.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,RESERVATION,2,66.66666666666667,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,PAYMENT_REFUND,2,66.66666666666667,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,PRICE_VALUE,1,33.333333333333336,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,CHECKIN_CHECKOUT,0,0.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,AIR_CONDITIONING,0,0.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,NOISE,0,0.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,FAMILY_CHILDREN,0,0.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,TRANSPORT_TRANSFER,1,33.333333333333336,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,MANAGEMENT_COMMUNICATION,1,33.333333333333336,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,SPA_WELLNESS,0,0.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,SAFETY_SECURITY,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,STAFF_SERVICE,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,CLEANLINESS_HYGIENE,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,FOOD_BEVERAGE,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,ROOM,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,BEACH_SEA,0,0.0,True,LOW_SAMPLE
