file_path,file_type,category,size_bytes,modified_at_local,row_count,column_count,columns,purpose
reports/sikayetvar_nlp_sample_readiness.csv,csv,NLP,6901,2026-08-26T07:02:08.212099314,32.0,12.0,hotel_id|hotel_name|area|matched_complaint_count|complaints_with_replies|company_response_count|median_complaint_word_count|small_n_flag|nlp_sample_tier|tier_rule|recommended_use|main_caution,"NLP corpus, term, sample-readiness, or topic-gate output"
reports/sikayetvar_nlp_unigram_frequency.csv,csv,NLP,83939,2026-08-26T07:02:08.213580608,1862.0,6.0,term|token_count|document_count|document_share_pct|is_domain_stopword|is_aspect_dictionary_term,"NLP corpus, term, sample-readiness, or topic-gate output"
reports/sikayetvar_orphan_complaints.csv,csv,QUALITY,458,2026-08-26T07:02:08.214091063,0.0,28.0,complaint_id|complaint_url|canonical_complaint_url|hotel_id|hotel_name|area|sikayetvar_company_name|complaint_title|complaint_text|complaint_date_raw|view_count|support_count|category|product_name|company_response_exists|company_response_date|company_response_text|progress_exists|progress_date|progress_text|user_reply_count|first_user_reply_date|first_user_reply_text|entity_match_status|entity_match_score|entity_match_reason|source_page|collected_at,Other Sikayetvar-related repository asset
reports/sikayetvar_orphan_replies.csv,csv,QUALITY,117,2026-08-26T07:02:08.214091063,0.0,8.0,complaint_id|canonical_complaint_url|hotel_id|hotel_name|reply_order|reply_author_type|reply_date_raw|reply_text,Other Sikayetvar-related repository asset
reports/sikayetvar_orphan_replies_audit.csv,csv,QUALITY,269,2026-08-26T07:02:08.214716196,0.0,16.0,complaint_id|canonical_complaint_url|hotel_id|hotel_name|reply_order|reply_author_type|reply_date_raw|reply_text|reply_text_clean|reply_author_type_clean|reply_order_numeric|reply_date|reply_date_is_approximate|reply_date_pattern|reply_date_parse_failed_flag|reply_id,"Data quality, schema, deduplication, or cleaning evidence"
reports/sikayetvar_output_validation.csv,csv,QUALITY,673,2026-08-26T07:02:08.214716196,11.0,4.0,check|passed|evidence|status,Other Sikayetvar-related repository asset
reports/sikayetvar_reply_behavior_summary.csv,csv,REPLY,180,2026-08-26T07:02:08.214716196,5.0,2.0,metric|value,Company/user reply coverage or response-behavior output
reports/sikayetvar_reply_count_consistency.csv,csv,REPLY,62852,2026-08-26T07:02:08.215926886,245.0,14.0,complaint_id|canonical_complaint_url|hotel_id|hotel_name|entity_match_status|user_reply_count_numeric|reply_count_total_derived|reply_count_company_derived|reply_count_user_derived|reply_count_unknown_derived|company_response_exists_clean|company_reply_exists_derived|user_reply_count_mismatch_flag|company_response_mismatch_flag,Company/user reply coverage or response-behavior output
reports/sikayetvar_reply_duplicate_audit.csv,csv,QUALITY,97,2026-08-26T07:02:08.216431618,0.0,7.0,reply_id|complaint_id|canonical_complaint_url|hotel_id|reply_order|reply_author_type|reply_text,Company/user reply coverage or response-behavior output
reports/sikayetvar_scraper_vs_audit_consistency.csv,csv,QUALITY,286,2026-08-26T07:02:08.216431618,6.0,5.0,metric|scraper_report_value|audit_recomputed_value|difference|status,"Data quality, schema, deduplication, or cleaning evidence"
reports/sikayetvar_severity_by_aspect.csv,csv,ASPECT,1322,2026-08-26T07:02:08.216431618,18.0,5.0,aspect|complaint_count|high_share_pct|medium_share_pct|baseline_share_pct,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_severity_dictionary.csv,csv,ASPECT,1415,2026-08-26T07:02:08.217319012,49.0,4.0,severity_tier|keyword|keyword_type|document_count,Other Sikayetvar-related repository asset
reports/sikayetvar_severity_distribution.csv,csv,ASPECT,253,2026-08-26T07:02:08.217824459,3.0,5.0,severity_tier|complaint_count|share_pct|company_response_count|company_response_rate_within_tier,Other Sikayetvar-related repository asset
reports/sikayetvar_temporal_aspect_summary.csv,csv,ASPECT,1192,2026-08-26T07:02:08.217824459,24.0,6.0,year|year_n|aspect|aspect_count|aspect_mention_rate_pct|partial_year_flag,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_temporal_summary.csv,csv,EDA,348,2026-08-26T07:02:08.218669891,16.0,3.0,granularity|period|complaint_count,Descriptive EDA or cross-platform visibility output
reports/sikayetvar_topic_model_gate.csv,csv,NLP,499,2026-08-26T07:02:08.218669891,6.0,4.0,gate|value|status|note,"NLP corpus, term, sample-readiness, or topic-gate output"
